app_epoch_ms,provider_epoch_ms,lat,lon
1774406122857,1774406122618,53.308370,-6.225675
1774406123890,1774406123619,53.308394,-6.225671
1774406124901,1774406124619,53.308422,-6.225662
1774406125883,1774406125618,53.308456,-6.225646
1774406126898,1774406126618,53.308478,-6.225635
1774406127853,1774406127619,53.308504,-6.225620
1774406128893,1774406128618,53.308519,-6.225607
1774406129831,1774406129618,53.308540,-6.225600
1774406130876,1774406130618,53.308568,-6.225591
1774406131880,1774406131618,53.308594,-6.225570
1774406132888,1774406132619,53.308606,-6.225566
1774406133857,1774406133618,53.308606,-6.225566
1774406134876,1774406134619,53.308662,-6.225549
1774406135885,1774406135619,53.308703,-6.225561
1774406136872,1774406136619,53.308761,-6.225595
1774406137900,1774406137619,53.308814,-6.225654
1774406138838,1774406138619,53.308855,-6.225719
1774406139854,1774406139619,53.308879,-6.225806
1774406140884,1774406140618,53.308904,-6.225871
1774406141847,1774406141619,53.308911,-6.225920
1774406142840,1774406142618,53.308931,-6.225986
1774406143895,1774406143618,53.308955,-6.226058
1774406144883,1774406144619,53.308968,-6.226128
1774406145879,1774406145618,53.308975,-6.226196
1774406146880,1774406146618,53.308976,-6.226263
1774406147886,1774406147619,53.308982,-6.226326
1774406148892,1774406148618,53.308984,-6.226400
1774406149885,1774406149619,53.308991,-6.226459
1774406150878,1774406150618,53.308996,-6.226521
1774406151877,1774406151618,53.309000,-6.226579
1774406152900,1774406152619,53.309005,-6.226652
1774406153904,1774406153619,53.309012,-6.226722
1774406154887,1774406154619,53.309015,-6.226770
1774406155854,1774406155618,53.309020,-6.226823
1774406156890,1774406156620,53.309025,-6.226879
1774406157883,1774406157619,53.309028,-6.226943
1774406158883,1774406158619,53.309028,-6.227001
1774406159839,1774406159620,53.309030,-6.227062
1774406160868,1774406160620,53.309035,-6.227132
1774406161891,1774406161620,53.309044,-6.227197
1774406162898,1774406162619,53.309063,-6.227258
1774406163874,1774406163619,53.309092,-6.227271
1774406164892,1774406164620,53.309123,-6.227282
1774406165892,1774406165619,53.309160,-6.227287
1774406166880,1774406166619,53.309200,-6.227276
1774406167859,1774406167619,53.309236,-6.227261
1774406168889,1774406168620,53.309270,-6.227246
1774406169852,1774406169620,53.309310,-6.227224
1774406170894,1774406170620,53.309337,-6.227211
1774406171884,1774406171620,53.309363,-6.227183
1774406172844,1774406172619,53.309391,-6.227161
1774406173857,1774406173619,53.309434,-6.227155
1774406174898,1774406174619,53.309463,-6.227158
1774406175836,1774406175619,53.309485,-6.227163
1774406176882,1774406176620,53.309510,-6.227173
1774406177854,1774406177620,53.309530,-6.227186
1774406178843,1774406178619,53.309543,-6.227213
1774406179873,1774406179620,53.309551,-6.227247
1774406180834,1774406180620,53.309558,-6.227307
1774406181876,1774406181619,53.309568,-6.227360
1774406182883,1774406182620,53.309578,-6.227421
